"DATE","TIME PERIOD","(LFSI.M.CZ.N.UNEHRT.TOTAL0.15_74.T)"
"2008-02-29","2008Feb","4.825326"
"2008-03-31","2008Mar","4.407141"
"2008-04-30","2008Apr","4.285218"
"2008-05-31","2008May","3.982567"
"2008-06-30","2008Jun","4.391502"
"2008-07-31","2008Jul","4.268030"
"2008-08-31","2008Aug","4.185220"
"2008-09-30","2008Sep","4.388832"
"2008-10-31","2008Oct","4.083502"
"2008-11-30","2008Nov","4.292474"
"2008-12-31","2008Dec","4.792965"
"2009-01-31","2009Jan","5.494338"
"2009-02-28","2009Feb","5.940384"
"2009-03-31","2009Mar","5.891702"
"2009-04-30","2009Apr","6.259594"
"2009-05-31","2009May","6.464013"
"2009-06-30","2009Jun","6.298229"
"2009-07-31","2009Jul","6.979204"
"2009-08-31","2009Aug","7.654838"
"2009-09-30","2009Sep","7.270181"
"2009-10-31","2009Oct","7.051152"
"2009-11-30","2009Nov","7.386323"
"2009-12-31","2009Dec","7.343996"
"2010-01-31","2010Jan","7.991062"
"2010-02-28","2010Feb","8.423179"
"2010-03-31","2010Mar","7.764863"
"2010-04-30","2010Apr","7.239000"
"2010-05-31","2010May","7.256599"
"2010-06-30","2010Jun","6.922698"
"2010-07-31","2010Jul","7.293209"
"2010-08-31","2010Aug","7.217780"
"2010-09-30","2010Sep","6.755333"
"2010-10-31","2010Oct","7.005702"
"2010-11-30","2010Nov","6.833660"
"2010-12-31","2010Dec","6.813614"
"2011-01-31","2011Jan","7.280770"
"2011-02-28","2011Feb","7.400477"
"2011-03-31","2011Mar","6.831788"
"2011-04-30","2011Apr","6.937767"
"2011-05-31","2011May","6.623910"
"2011-06-30","2011Jun","6.626231"
"2011-07-31","2011Jul","6.660010"
"2011-08-31","2011Aug","6.426704"
"2011-09-30","2011Sep","6.560906"
"2011-10-31","2011Oct","6.479240"
"2011-11-30","2011Nov","6.326276"
"2011-12-31","2011Dec","6.486184"
"2012-01-31","2012Jan","6.857353"
"2012-02-29","2012Feb","7.439401"
"2012-03-31","2012Mar","7.010593"
"2012-04-30","2012Apr","6.841425"
"2012-05-31","2012May","6.732122"
"2012-06-30","2012Jun","6.540327"
"2012-07-31","2012Jul","6.968777"
"2012-08-31","2012Aug","7.326321"
"2012-09-30","2012Sep","6.600987"
"2012-10-31","2012Oct","7.027704"
"2012-11-30","2012Nov","7.567069"
"2012-12-31","2012Dec","6.924365"
"2013-01-31","2013Jan","7.074675"
"2013-02-28","2013Feb","7.942576"
"2013-03-31","2013Mar","7.334571"
"2013-04-30","2013Apr","6.820491"
"2013-05-31","2013May","7.220478"
"2013-06-30","2013Jun","6.416354"
"2013-07-31","2013Jul","6.645772"
"2013-08-31","2013Aug","7.323848"
"2013-09-30","2013Sep","6.890937"
"2013-10-31","2013Oct","6.300549"
"2013-11-30","2013Nov","6.973662"
"2013-12-31","2013Dec","6.825419"
"2014-01-31","2014Jan","6.561379"
"2014-02-28","2014Feb","6.904868"
"2014-03-31","2014Mar","6.894493"
"2014-04-30","2014Apr","6.099709"
"2014-05-31","2014May","6.042748"
"2014-06-30","2014Jun","5.990236"
"2014-07-31","2014Jul","5.660869"
"2014-08-31","2014Aug","6.401694"
"2014-09-30","2014Sep","5.645586"
"2014-10-31","2014Oct","5.354464"
"2014-11-30","2014Nov","6.137455"
"2014-12-31","2014Dec","5.747298"
"2015-01-31","2015Jan","5.981494"
"2015-02-28","2015Feb","6.198520"
"2015-03-31","2015Mar","5.790228"
"2015-04-30","2015Apr","5.214640"
"2015-05-31","2015May","4.807703"
"2015-06-30","2015Jun","4.816241"
"2015-07-31","2015Jul","5.081443"
"2015-08-31","2015Aug","4.813594"
"2015-09-30","2015Sep","4.638478"
"2015-10-31","2015Oct","4.548500"
"2015-11-30","2015Nov","4.365435"
"2015-12-31","2015Dec","4.485235"
"2016-01-31","2016Jan","4.571077"
"2016-02-29","2016Feb","4.428343"
"2016-03-31","2016Mar","4.075402"
"2016-04-30","2016Apr","3.972712"
"2016-05-31","2016May","3.725760"
"2016-06-30","2016Jun","4.113907"
"2016-07-31","2016Jul","4.287970"
"2016-08-31","2016Aug","3.730602"
"2016-09-30","2016Sep","3.916639"
"2016-10-31","2016Oct","3.710499"
"2016-11-30","2016Nov","3.476340"
"2016-12-31","2016Dec","3.562013"
"2017-01-31","2017Jan","3.582697"
"2017-02-28","2017Feb","3.504614"
"2017-03-31","2017Mar","3.270494"
"2017-04-30","2017Apr","3.303894"
"2017-05-31","2017May","2.791380"
"2017-06-30","2017Jun","2.806481"
"2017-07-31","2017Jul","2.871863"
"2017-08-31","2017Aug","2.785188"
"2017-09-30","2017Sep","2.674021"
"2017-10-31","2017Oct","2.565998"
"2017-11-30","2017Nov","2.346949"
"2017-12-31","2017Dec","2.264030"
"2018-01-31","2018Jan","2.590948"
"2018-02-28","2018Feb","2.557373"
"2018-03-31","2018Mar","2.093656"
"2018-04-30","2018Apr","2.225029"
"2018-05-31","2018May","2.152770"
"2018-06-30","2018Jun","2.197929"
"2018-07-31","2018Jul","2.279154"
"2018-08-31","2018Aug","2.500909"
"2018-09-30","2018Sep","2.252610"
"2018-10-31","2018Oct","1.998830"
"2018-11-30","2018Nov","1.853768"
"2018-12-31","2018Dec","2.279302"
"2019-01-31","2019Jan","2.155448"
"2019-02-28","2019Feb","1.831669"
"2019-03-31","2019Mar","2.108438"
"2019-04-30","2019Apr","2.012798"
"2019-05-31","2019May","1.968768"
"2019-06-30","2019Jun","1.727128"
"2019-07-31","2019Jul","2.180655"
"2019-08-31","2019Aug","2.099672"
"2019-09-30","2019Sep","2.094795"
"2019-10-31","2019Oct","2.127566"
"2019-11-30","2019Nov","2.028155"
"2019-12-31","2019Dec","1.900860"
"2020-01-31","2020Jan","2.124497"
"2020-02-29","2020Feb","1.925976"
"2020-03-31","2020Mar","1.878543"
"2020-04-30","2020Apr","2.139537"
"2020-05-31","2020May","2.403492"
"2020-06-30","2020Jun","2.566476"
"2020-07-31","2020Jul","2.985938"
"2020-08-31","2020Aug","2.849970"
"2020-09-30","2020Sep","2.754204"
"2020-10-31","2020Oct","3.088307"
"2020-11-30","2020Nov","2.847897"
"2020-12-31","2020Dec","3.104066"
"2021-01-31","2021Jan","3.377786"
"2021-02-28","2021Feb","3.306219"
"2021-03-31","2021Mar","3.412539"
"2021-04-30","2021Apr","3.258247"
"2021-05-31","2021May","3.025536"
"2021-06-30","2021Jun","2.670661"
"2021-07-31","2021Jul","2.691370"
"2021-08-31","2021Aug","2.881215"
"2021-09-30","2021Sep","2.536460"
"2021-10-31","2021Oct","2.432896"
"2021-11-30","2021Nov","2.043100"
"2021-12-31","2021Dec","2.143846"
"2022-01-31","2022Jan","2.462616"
"2022-02-28","2022Feb","2.686239"
"2022-03-31","2022Mar","2.292217"
"2022-04-30","2022Apr","2.405810"
"2022-05-31","2022May","2.371208"
"2022-06-30","2022Jun","2.380669"
"2022-07-31","2022Jul","2.346353"
"2022-08-31","2022Aug","2.565153"
"2022-09-30","2022Sep","2.211786"
"2022-10-31","2022Oct","2.076861"
"2022-11-30","2022Nov","2.727109"
"2022-12-31","2022Dec","2.151610"
"2023-01-31","2023Jan","2.641224"
"2023-02-28","2023Feb","2.639622"
"2023-03-31","2023Mar","2.583442"
"2023-04-30","2023Apr","2.691809"
"2023-05-31","2023May","2.314771"
"2023-06-30","2023Jun","2.648193"
"2023-07-31","2023Jul","2.860447"
"2023-08-31","2023Aug","2.571397"
"2023-09-30","2023Sep","2.661072"
