"DATE","TIME PERIOD","(LFSI.M.DE.S.UNEHRT.TOTAL0.15_74.T)"
"2004-05-31","2004May","10.283925"
"2004-06-30","2004Jun","10.304224"
"2004-07-31","2004Jul","10.335042"
"2004-08-31","2004Aug","10.379462"
"2004-09-30","2004Sep","10.437946"
"2004-10-31","2004Oct","10.509200"
"2004-11-30","2004Nov","10.586351"
"2004-12-31","2004Dec","10.665482"
"2005-01-31","2005Jan","10.745805"
"2005-02-28","2005Feb","10.862311"
"2005-03-31","2005Mar","10.942993"
"2005-04-30","2005Apr","11.195313"
"2005-05-31","2005May","11.234216"
"2005-06-30","2005Jun","11.248400"
"2005-07-31","2005Jul","11.241505"
"2005-08-31","2005Aug","11.201577"
"2005-09-30","2005Sep","11.121288"
"2005-10-31","2005Oct","11.004442"
"2005-11-30","2005Nov","10.874284"
"2005-12-31","2005Dec","10.747675"
"2006-01-31","2006Jan","10.638876"
"2006-02-28","2006Feb","10.548617"
"2006-03-31","2006Mar","10.457007"
"2006-04-30","2006Apr","10.341044"
"2006-05-31","2006May","10.206591"
"2006-06-30","2006Jun","10.075533"
"2006-07-31","2006Jul","9.975837"
"2006-08-31","2006Aug","9.903348"
"2006-09-30","2006Sep","9.828537"
"2006-10-31","2006Oct","9.732982"
"2006-11-30","2006Nov","9.599096"
"2006-12-31","2006Dec","9.433206"
"2007-01-31","2007Jan","9.245268"
"2007-02-28","2007Feb","9.053815"
"2007-03-31","2007Mar","8.886963"
"2007-04-30","2007Apr","8.753169"
"2007-05-31","2007May","8.643898"
"2007-06-30","2007Jun","8.550935"
"2007-07-31","2007Jul","8.472956"
"2007-08-31","2007Aug","8.410822"
"2007-09-30","2007Sep","8.354268"
"2007-10-31","2007Oct","8.281534"
"2007-11-30","2007Nov","8.188190"
"2007-12-31","2007Dec","8.076553"
"2008-01-31","2008Jan","7.958913"
"2008-02-29","2008Feb","7.851948"
"2008-03-31","2008Mar","7.754623"
"2008-04-30","2008Apr","7.663084"
"2008-05-31","2008May","7.557761"
"2008-06-30","2008Jun","7.427130"
"2008-07-31","2008Jul","7.278070"
"2008-08-31","2008Aug","7.131676"
"2008-09-30","2008Sep","7.022249"
"2008-10-31","2008Oct","6.968564"
"2008-11-30","2008Nov","6.967851"
"2008-12-31","2008Dec","7.009218"
"2009-01-31","2009Jan","7.076755"
"2009-02-28","2009Feb","7.145285"
"2009-03-31","2009Mar","7.211034"
"2009-04-30","2009Apr","7.278701"
"2009-05-31","2009May","7.347973"
"2009-06-30","2009Jun","7.405103"
"2009-07-31","2009Jul","7.423683"
"2009-08-31","2009Aug","7.393581"
"2009-09-30","2009Sep","7.325258"
"2009-10-31","2009Oct","7.236596"
"2009-11-30","2009Nov","7.149991"
"2009-12-31","2009Dec","7.078076"
"2010-01-31","2010Jan","7.022115"
"2010-02-28","2010Feb","6.969980"
"2010-03-31","2010Mar","6.894275"
"2010-04-30","2010Apr","6.781494"
"2010-05-31","2010May","6.652705"
"2010-06-30","2010Jun","6.533338"
"2010-07-31","2010Jul","6.443015"
"2010-08-31","2010Aug","6.383715"
"2010-09-30","2010Sep","6.338224"
"2010-10-31","2010Oct","6.290652"
"2010-11-30","2010Nov","6.225110"
"2010-12-31","2010Dec","6.129050"
"2011-01-31","2011Jan","6.003393"
"2011-02-28","2011Feb","5.866257"
"2011-03-31","2011Mar","5.743594"
"2011-04-30","2011Apr","5.647958"
"2011-05-31","2011May","5.574885"
"2011-06-30","2011Jun","5.518404"
"2011-07-31","2011Jul","5.470708"
"2011-08-31","2011Aug","5.420853"
"2011-09-30","2011Sep","5.364729"
"2011-10-31","2011Oct","5.301436"
"2011-11-30","2011Nov","5.236807"
"2011-12-31","2011Dec","5.185325"
"2012-01-31","2012Jan","5.147056"
"2012-02-29","2012Feb","5.124776"
"2012-03-31","2012Mar","5.118834"
"2012-04-30","2012Apr","5.118266"
"2012-05-31","2012May","5.117311"
"2012-06-30","2012Jun","5.103345"
"2012-07-31","2012Jul","5.071739"
"2012-08-31","2012Aug","5.029804"
"2012-09-30","2012Sep","4.997457"
"2012-10-31","2012Oct","4.990718"
"2012-11-30","2012Nov","5.006966"
"2012-12-31","2012Dec","5.031538"
"2013-01-31","2013Jan","5.053318"
"2013-02-28","2013Feb","5.063214"
"2013-03-31","2013Mar","5.046371"
"2013-04-30","2013Apr","5.011635"
"2013-05-31","2013May","4.971790"
"2013-06-30","2013Jun","4.934161"
"2013-07-31","2013Jul","4.903487"
"2013-08-31","2013Aug","4.879979"
"2013-09-30","2013Sep","4.860239"
"2013-10-31","2013Oct","4.847101"
"2013-11-30","2013Nov","4.846012"
"2013-12-31","2013Dec","4.850596"
"2014-01-31","2014Jan","4.848299"
"2014-02-28","2014Feb","4.828163"
"2014-03-31","2014Mar","4.793347"
"2014-04-30","2014Apr","4.755276"
"2014-05-31","2014May","4.717376"
"2014-06-30","2014Jun","4.696320"
"2014-07-31","2014Jul","4.697212"
"2014-08-31","2014Aug","4.708385"
"2014-09-30","2014Sep","4.711821"
"2014-10-31","2014Oct","4.692669"
"2014-11-30","2014Nov","4.647096"
"2014-12-31","2014Dec","4.585431"
"2015-01-31","2015Jan","4.527541"
"2015-02-28","2015Feb","4.486021"
"2015-03-31","2015Mar","4.462021"
"2015-04-30","2015Apr","4.443030"
"2015-05-31","2015May","4.417761"
"2015-06-30","2015Jun","4.383016"
"2015-07-31","2015Jul","4.341987"
"2015-08-31","2015Aug","4.307448"
"2015-09-30","2015Sep","4.279360"
"2015-10-31","2015Oct","4.257773"
"2015-11-30","2015Nov","4.233215"
"2015-12-31","2015Dec","4.197531"
"2016-01-31","2016Jan","4.151680"
"2016-02-29","2016Feb","4.102194"
"2016-03-31","2016Mar","4.060865"
"2016-04-30","2016Apr","4.030871"
"2016-05-31","2016May","4.007873"
"2016-06-30","2016Jun","3.983092"
"2016-07-31","2016Jul","3.945099"
"2016-08-31","2016Aug","3.890594"
"2016-09-30","2016Sep","3.829741"
"2016-10-31","2016Oct","3.770157"
"2016-11-30","2016Nov","3.721220"
"2016-12-31","2016Dec","3.692223"
"2017-01-31","2017Jan","3.676685"
"2017-02-28","2017Feb","3.664980"
"2017-03-31","2017Mar","3.651047"
"2017-04-30","2017Apr","3.630323"
"2017-05-31","2017May","3.603459"
"2017-06-30","2017Jun","3.569328"
"2017-07-31","2017Jul","3.536971"
"2017-08-31","2017Aug","3.509427"
"2017-09-30","2017Sep","3.483528"
"2017-10-31","2017Oct","3.454263"
"2017-11-30","2017Nov","3.420075"
"2017-12-31","2017Dec","3.380803"
"2018-01-31","2018Jan","3.343363"
"2018-02-28","2018Feb","3.309793"
"2018-03-31","2018Mar","3.280566"
"2018-04-30","2018Apr","3.256306"
"2018-05-31","2018May","3.238759"
"2018-06-30","2018Jun","3.224057"
"2018-07-31","2018Jul","3.209274"
"2018-08-31","2018Aug","3.190993"
"2018-09-30","2018Sep","3.170495"
"2018-10-31","2018Oct","3.144924"
"2018-11-30","2018Nov","3.118637"
"2018-12-31","2018Dec","3.092934"
"2019-01-31","2019Jan","3.068217"
"2019-02-28","2019Feb","3.043716"
"2019-03-31","2019Mar","3.014941"
"2019-04-30","2019Apr","2.980420"
"2019-05-31","2019May","2.944219"
"2019-06-30","2019Jun","2.913952"
"2019-07-31","2019Jul","2.899187"
"2019-08-31","2019Aug","2.907016"
"2019-09-30","2019Sep","2.938163"
"2019-10-31","2019Oct","2.993918"
"2019-11-30","2019Nov","3.068178"
"2019-12-31","2019Dec","3.150293"
"2020-01-31","2020Jan","3.234465"
"2020-02-29","2020Feb","3.324644"
"2020-03-31","2020Mar","3.425437"
"2020-04-30","2020Apr","3.534414"
"2020-05-31","2020May","3.642440"
"2020-06-30","2020Jun","3.742445"
"2020-07-31","2020Jul","3.817686"
"2020-08-31","2020Aug","3.859209"
"2020-09-30","2020Sep","3.873571"
"2020-10-31","2020Oct","3.873581"
"2020-11-30","2020Nov","3.872054"
"2020-12-31","2020Dec","3.881526"
"2021-01-31","2021Jan","3.898770"
"2021-02-28","2021Feb","3.906443"
"2021-03-31","2021Mar","3.883718"
"2021-04-30","2021Apr","3.827020"
"2021-05-31","2021May","3.740920"
"2021-06-30","2021Jun","3.637007"
"2021-07-31","2021Jul","3.531746"
"2021-08-31","2021Aug","3.441422"
"2021-09-30","2021Sep","3.367223"
"2021-10-31","2021Oct","3.305143"
"2021-11-30","2021Nov","3.250676"
"2021-12-31","2021Dec","3.199023"
"2022-01-31","2022Jan","3.144288"
"2022-02-28","2022Feb","3.092476"
"2022-03-31","2022Mar","3.054172"
"2022-04-30","2022Apr","3.032117"
"2022-05-31","2022May","3.025035"
"2022-06-30","2022Jun","3.032223"
"2022-07-31","2022Jul","3.047485"
"2022-08-31","2022Aug","3.062154"
"2022-09-30","2022Sep","3.068330"
"2022-10-31","2022Oct","3.062667"
"2022-11-30","2022Nov","3.043780"
"2022-12-31","2022Dec","3.012376"
"2023-01-31","2023Jan","2.980036"
"2023-02-28","2023Feb","2.954500"
"2023-03-31","2023Mar","2.940609"
"2023-04-30","2023Apr","2.942815"
"2023-05-31","2023May","2.958515"
"2023-06-30","2023Jun","2.976988"
"2023-07-31","2023Jul","2.992124"
"2023-08-31","2023Aug","2.999297"
"2023-09-30","2023Sep","2.999064"
